"pH","Turbidity","TDS","Dissolved.Oxygen","Nitrate","Lead","E.Coli","Potential_Health_Issue"
8.87,1.68,675.6,8.1,4.44,0,5,"Gastroenteritis"
9.01,2.69,233.3,10.61,0.17,0,452,"Alkalosis (from very alkaline water)"
8.14,2.49,558.1,9.93,6.2,0.067,0,"Lead poisoning (developmental issues)"
5.72,2.62,529.2,8.6,3.27,0,1,"Gastroenteritis"
7.96,1.47,457.7,12.23,0.4,0.0027,0,"Safe for consumption"
8.45,2.83,299,9.16,3.62,0,0,"Safe for consumption"
7.71,2.26,532.7,8.32,7.63,0,0,"Safe for consumption"
7.93,4.11,824.1,9.25,0.09,0.0066,2,"Gastroenteritis"
7.22,1.02,469.2,8.55,1.52,0,0,"Safe for consumption"
7.59,2.23,512.5,7.27,0.45,0,4,"Gastroenteritis"
9.28,0.9,768.7,8.67,1.22,0,6,"Alkalosis (from very alkaline water)"
6.1,1.12,592,6.09,2.63,0,3,"Acidosis (from very acidic water)"
7.23,1.1,281.7,8.94,0.31,0,0,"Safe for consumption"
7.59,1.55,280.6,7.57,2.39,0,7,"Gastroenteritis"
8.59,1.46,598.5,10.78,4.4,0,0,"Alkalosis (from very alkaline water)"
6.37,4.47,1040,10.4,0.33,0,5361,"Kidney stones"
6.86,0.6,364.9,9.98,3.35,0,495,"Gastroenteritis"
7.61,1.9,665.6,6.21,4.53,0,8239,"Dysentery"
8.63,2.76,1659.5,7.91,4.8,0,340,"Severe diarrheal disease"
7.58,1.2,227.7,8.61,6.95,0,212,"Severe diarrheal disease"
8.71,1.14,425.5,7.16,3.96,0,0,"Alkalosis (from very alkaline water)"
5.85,0.24,811.6,7.13,1.56,0,0,"Acidosis (from very acidic water)"
7.46,6,818.8,6,2.79,0,5472,"Dysentery"
6.7,1.76,537.5,12.71,3.84,0,0,"Safe for consumption"
7.66,2.25,687.9,9.35,17.46,0,0,"Methemoglobinemia (Blue baby syndrome)"
7.45,1.92,660,7.54,1.81,0,0,"Safe for consumption"
5.76,2.37,652.1,7.7,6.84,0,5,"Acidosis (from very acidic water)"
9.16,2.16,334.6,8.42,0.6,0,0,"Alkalosis (from very alkaline water)"
6.24,0.15,175.3,7.85,2.47,0,1,"Acidosis (from very acidic water)"
6.54,0.73,306.6,11.63,0.31,0,0,"Safe for consumption"
7.53,2.74,732.8,12.12,7.36,0,0,"Safe for consumption"
7.71,0.89,254.2,9.53,8.64,0.084,0,"Lead poisoning (developmental issues)"
7.42,0.76,457.6,8.23,7.34,0.0164,0,"Lead poisoning (developmental issues)"
6.22,0.6,800,10.12,2.4,0,0,"Acidosis (from very acidic water)"
7.24,0.64,401.7,8.89,2.1,0,0,"Safe for consumption"
8.45,4.6,282.3,7.22,1.03,0,0,"Safe for consumption"
8.82,1.14,308.6,5.77,2.62,0,0,"Alkalosis (from very alkaline water)"
7.46,2.72,444.4,6.98,8.55,0,0,"Safe for consumption"
7.55,4.96,254.6,5.93,4.84,0,0,"Safe for consumption"
6.88,0.31,654.2,9.94,0.91,0,0,"Safe for consumption"
8.91,1.52,704.2,9.63,2.11,0,0,"Alkalosis (from very alkaline water)"
8.07,0.07,273.3,8.86,3.26,0,207,"Severe diarrheal disease"
6.41,5.13,790.8,10.41,1.79,0,0,"Gastrointestinal illnesses"
6.93,0.95,319.2,8.7,0,0,0,"Safe for consumption"
7.77,3.67,294.2,12.93,1.3,0,4,"Gastroenteritis"
8.36,0.16,367.3,7.99,1.68,0,0,"Safe for consumption"
7.44,3.4,419.5,8.12,3.33,0.0093,0,"Safe for consumption"
6.68,1.98,435.1,9.25,1.2,0,0,"Safe for consumption"
8.09,2.09,313,8.33,7.39,0.0038,0,"Safe for consumption"
